time,symbol,position_direction,action,entry_type,entry_price,exit_price,qty,pnl_usdt,pnl_pct,exit_reason,entry_adx,entry_atr
2026-03-21 01:45:05,ETHUSDT,SHORT,ENTRY,A,2133.58,0.0,31.54,0.0,0.0,,16.261094171230535,15.062857142857151
2026-03-21 04:44:42,ETHUSDT,SHORT,EXIT,A,2133.58,2127.61,31.54,188.2937999999937,0.2798113968072348,트레일링,16.261094171230535,15.062857142857151
2026-03-21 09:15:18,XRPUSDT,LONG,ENTRY,B,1.445,0.0,46843.4,0.0,0.0,,35.67494804952692,0.004621428571428522,0.28084485850509483
2026-03-21 15:00:58,XRPUSDT,LONG,EXIT,B,1.445,1.4476,46843.4,121.79283999999699,0.1799307958477464,트레일링,35.67494804952692,0.004621428571428522,0.28084485850509483
2026-03-22 04:45:11,BTCUSDT,SHORT,ENTRY,B,70309.4,0.0,0.961,0.0,0.0,,45.945125266033564,139.48571428571137,0.4373771744966648
2026-03-22 09:15:31,BTCUSDT,SHORT,ENTRY,B,68833.0,0.0,0.984,0.0,0.0,,34.34904750155489,251.4000000000004,5.642756102052414
2026-03-22 11:28:50,BTCUSDT,SHORT,EXIT,B,68833.0,69226.4,0.984,-387.10559999999424,-0.5715281914198047,손절,34.34904750155489,251.4000000000004,5.642756102052414
2026-03-22 14:30:17,BTCUSDT,SHORT,ENTRY,B,69161.1,0.0,0.969,0.0,0.0,,45.05825068521045,202.17142857143023,0.48929988246318745
2026-03-22 17:06:40,BTCUSDT,SHORT,EXIT,B,69161.1,68875.4,0.969,276.84330000001125,0.413093487524073,트레일링,45.05825068521045,202.17142857143023,0.48929988246318745
2026-03-22 17:06:43,ETHUSDT,SHORT,ENTRY,B,2091.2,0.0,32.01,0.0,0.0,,46.77031890295137,6.215714285714284,1.622605475841463
2026-03-22 17:42:30,ETHUSDT,SHORT,EXIT,B,2091.2,2083.3,32.01,252.87899999998834,0.37777352716142104,트레일링,46.77031890295137,6.215714285714284,1.622605475841463
2026-03-22 17:42:33,XRPUSDT,SHORT,ENTRY,B,1.3983,0.0,48047.0,0.0,0.0,,43.881101909226956,0.003607142857142888,2.7575339233485447
2026-03-22 20:38:15,XRPUSDT,SHORT,EXIT,B,1.3983,1.3919,48047.0,307.5008000000088,0.45769863405565203,트레일링,43.881101909226956,0.003607142857142888,2.7575339233485447
2026-03-22 22:45:25,XRPUSDT,SHORT,ENTRY,A,1.3965,0.0,47938.0,0.0,0.0,,37.8210070565351,0.005085714285714297,0.7739283062827272
2026-03-22 23:15:26,XRPUSDT,SHORT,EXIT,A,1.3965,1.3994,47938.0,-139.02019999999533,-0.2076620121732834,추세이탈,37.8210070565351,0.005085714285714297,0.7739283062827272
2026-03-23 03:15:30,BTCUSDT,SHORT,ENTRY,A,68678.1,0.0,0.975,0.0,0.0,,16.352626901669556,152.41428571428696,0.761886581137182
2026-03-23 03:59:53,BTCUSDT,SHORT,EXIT,A,68678.1,68589.7,0.975,86.19000000000851,0.12871643216688977,트레일링,16.352626901669556,152.41428571428696,0.761886581137182
2026-03-23 09:15:12,XRPUSDT,SHORT,ENTRY,A,1.3859,0.0,48072.0,0.0,0.0,,34.15831976653734,0.007485714285714286,0.9927247848448766
2026-03-23 10:07:13,XRPUSDT,SHORT,EXIT,A,1.3859,1.383,48072.0,139.40879999999532,0.20925030665992517,트레일링,34.15831976653734,0.007485714285714286,0.9927247848448766
2026-03-24 08:00:25,BTCUSDT,SHORT,ENTRY,A,70748.5,0.0,0.958,0.0,0.0,,26.08215387294345,186.028571428571,0.5884630797840487
2026-03-24 15:16:31,BTCUSDT,SHORT,EXIT,A,70748.5,70388.5,0.958,344.88,0.5088447104885616,트레일링,26.08215387294345,186.028571428571,0.5884630797840487
2026-03-24 15:16:36,XRPUSDT,SHORT,ENTRY,B,1.411,0.0,48074.0,0.0,0.0,,32.96477636177124,0.00380714285714285,0.8427459509463465
2026-03-24 16:06:20,XRPUSDT,SHORT,EXIT,B,1.411,1.421,48074.0,-480.7400000000004,-0.7087172218284911,손절,32.96477636177124,0.00380714285714285,0.8427459509463465
